,0,1,2
2778,police_officer,10-10,19
2779,police_officer,10-11,131
2780,police_officer,08-12,187
2781,police_officer,11-13,453
2782,police_officer,02-13,390
2783,police_officer,02-14,615
2784,police_officer,03-09,10
2785,police_officer,09-10,16
2786,police_officer,05-09,16
2787,police_officer,11-09,32
2788,police_officer,08-08,2
2789,police_officer,09-08,1
2790,police_officer,10-07,1
2791,police_officer,02-11,36
2792,police_officer,07-14,1176
2793,police_officer,08-14,8433
2794,police_officer,07-12,194
2795,police_officer,07-13,700
2796,police_officer,08-11,107
2797,police_officer,07-11,72
2798,police_officer,04-13,900
2799,police_officer,01-15,1435
2800,police_officer,04-11,63
2801,police_officer,04-10,21
2802,police_officer,01-10,8
2803,police_officer,10-14,2958
2804,police_officer,01-12,100
2805,police_officer,04-14,772
2806,police_officer,09-14,2560
2807,police_officer,08-13,390
2808,police_officer,11-12,193
2809,police_officer,02-12,105
2810,police_officer,09-11,154
2811,police_officer,09-12,186
2812,police_officer,09-13,508
2813,police_officer,12-09,27
2814,police_officer,12-08,1
2815,police_officer,07-10,29
2816,police_officer,06-08,1
2817,police_officer,06-09,8
2818,police_officer,06-11,51
2819,police_officer,03-12,162
2820,police_officer,11-14,14819
2821,police_officer,03-10,18
2822,police_officer,03-11,51
2823,police_officer,11-11,135
2824,police_officer,11-10,21
2825,police_officer,03-14,688
2826,police_officer,04-12,121
2827,police_officer,10-09,9
2828,police_officer,10-08,2
2829,police_officer,03-13,265
2830,police_officer,02-09,2
2831,police_officer,05-10,17
2832,police_officer,05-11,44
2833,police_officer,05-12,141
2834,police_officer,05-13,389
2835,police_officer,05-14,938
2836,police_officer,11-08,3
2837,police_officer,08-10,17
2838,police_officer,02-15,97
2839,police_officer,01-11,54
2840,police_officer,12-14,13824
2841,police_officer,04-08,2
2842,police_officer,01-14,698
2843,police_officer,12-10,36
2844,police_officer,12-11,139
2845,police_officer,12-12,445
2846,police_officer,12-13,508
2847,police_officer,09-09,12
2848,police_officer,01-13,310
2849,police_officer,02-10,19
2850,police_officer,06-10,30
2851,police_officer,06-13,405
2852,police_officer,06-12,145
2853,police_officer,06-14,980
2854,police_officer,04-09,9
2855,police_officer,07-09,20
2856,police_officer,08-09,18
2857,lawyer,10-13,1630
2858,lawyer,02-14,2381
2859,lawyer,10-10,114
2860,lawyer,10-11,320
2861,lawyer,02-11,109
2862,lawyer,02-10,62
2863,lawyer,10-14,6439
2864,lawyer,02-12,360
2865,lawyer,03-09,33
2866,lawyer,03-08,3
2867,lawyer,11-08,18
2868,lawyer,11-09,50
2869,lawyer,04-08,1
2870,lawyer,12-11,392
2871,lawyer,03-11,222
2872,lawyer,09-08,7
2873,lawyer,09-13,1399
2874,lawyer,07-14,3634
2875,lawyer,08-14,5235
2876,lawyer,08-13,1605
2877,lawyer,07-13,3415
2878,lawyer,07-10,100
2879,lawyer,07-11,431
2880,lawyer,01-14,2228
2881,lawyer,01-15,3058
2882,lawyer,04-11,203
2883,lawyer,04-10,92
2884,lawyer,01-10,51
2885,lawyer,02-13,1127
2886,lawyer,01-12,371
2887,lawyer,04-14,2870
2888,lawyer,09-14,5185
2889,lawyer,07-12,566
2890,lawyer,04-13,1316
2891,lawyer,09-10,92
2892,lawyer,09-11,305
2893,lawyer,09-12,575
2894,lawyer,08-12,562
2895,lawyer,05-08,2
2896,lawyer,12-09,58
2897,lawyer,01-08,3
2898,lawyer,05-09,49
2899,lawyer,08-07,1
2900,lawyer,06-08,1
2901,lawyer,06-09,49
2902,lawyer,05-11,205
2903,lawyer,03-12,601
2904,lawyer,11-14,9099
2905,lawyer,03-10,78
2906,lawyer,08-11,240
2907,lawyer,11-11,398
2908,lawyer,11-10,87
2909,lawyer,11-13,1659
2910,lawyer,04-12,750
2911,lawyer,10-09,54
2912,lawyer,10-08,8
2913,lawyer,03-13,1212
2914,lawyer,02-09,16
2915,lawyer,08-08,6
2916,lawyer,08-09,65
2917,lawyer,05-12,476
2918,lawyer,05-13,1524
2919,lawyer,05-14,3076
2920,lawyer,07-08,4
2921,lawyer,12-10,106
2922,lawyer,02-15,372
2923,lawyer,11-12,811
2924,lawyer,01-11,113
2925,lawyer,12-14,7622
2926,lawyer,05-10,77
2927,lawyer,10-12,822
2928,lawyer,03-14,2795
2929,lawyer,04-09,40
2930,lawyer,12-12,632
2931,lawyer,12-13,1652
2932,lawyer,09-09,56
2933,lawyer,01-13,1039
2934,lawyer,01-09,18
2935,lawyer,06-11,246
2936,lawyer,06-10,130
2937,lawyer,06-13,2223
2938,lawyer,06-12,608
2939,lawyer,06-14,3250
2940,lawyer,08-10,84
2941,lawyer,07-09,75
2942,defender,10-12,137
2943,defender,02-14,625
2944,defender,10-10,12
2945,defender,10-11,38
2946,defender,08-12,123
2947,defender,02-10,7
2948,defender,10-14,1877
2949,defender,10-13,485
2950,defender,03-09,5
2951,defender,09-10,20
2952,defender,02-13,211
2953,defender,11-09,10
2954,defender,02-11,20
2955,defender,07-14,1578
2956,defender,08-14,1603
2957,defender,08-13,373
2958,defender,07-13,394
2959,defender,08-11,36
2960,defender,05-08,1
2961,defender,01-14,630
2962,defender,01-15,1786
2963,defender,04-11,29
2964,defender,04-10,6
2965,defender,01-10,7
2966,defender,11-13,633
2967,defender,01-12,106
2968,defender,04-14,775
2969,defender,09-14,1825
2970,defender,07-12,106
2971,defender,04-13,288
2972,defender,02-12,98
2973,defender,09-11,49
2974,defender,09-12,124
2975,defender,09-13,421
2976,defender,12-09,5
2977,defender,05-09,7
2978,defender,07-10,15
2979,defender,10-08,1
2980,defender,06-09,5
2981,defender,12-08,1
2982,defender,03-12,87
2983,defender,11-14,2482
2984,defender,03-10,5
2985,defender,03-11,30
2986,defender,11-11,60
2987,defender,11-10,12
2988,defender,03-14,706
2989,defender,11-12,197
2990,defender,10-09,2
2991,defender,04-12,110
2992,defender,03-13,317
2993,defender,02-09,2
2994,defender,07-11,41
2995,defender,05-11,42
2996,defender,05-12,125
2997,defender,05-13,319
2998,defender,05-14,880
2999,defender,07-08,1
3000,defender,08-10,14
3001,defender,02-15,151
3002,defender,01-11,25
3003,defender,12-14,2291
3004,defender,05-10,10
3005,defender,12-10,16
3006,defender,12-11,70
3007,defender,12-12,230
3008,defender,12-13,590
3009,defender,09-09,8
3010,defender,01-13,246
3011,defender,06-11,38
3012,defender,06-10,20
3013,defender,06-13,391
3014,defender,06-12,133
3015,defender,06-14,1885
3016,defender,04-09,4
3017,defender,07-09,6
3018,defender,08-09,10
3019,navy,10-12,459
3020,navy,10-13,244
3021,navy,10-10,9
3022,navy,10-11,40
3023,navy,08-12,113
3024,navy,02-10,7
3025,navy,02-13,190
3026,navy,02-14,293
3027,navy,03-09,1
3028,navy,03-10,8
3029,navy,11-08,4
3030,navy,11-09,14
3031,navy,09-08,1
3032,navy,10-14,546
3033,navy,02-11,16
3034,navy,07-14,484
3035,navy,08-14,651
3036,navy,07-12,91
3037,navy,07-13,116
3038,navy,08-11,67
3039,navy,07-11,26
3040,navy,01-14,334
3041,navy,04-12,60
3042,navy,04-11,18
3043,navy,04-10,14
3044,navy,01-10,12
3045,navy,03-14,382
3046,navy,01-12,75
3047,navy,04-14,292
3048,navy,09-14,574
3049,navy,08-13,134
3050,navy,02-12,52
3051,navy,09-10,12
3052,navy,09-11,34
3053,navy,09-12,162
3054,navy,09-13,275
3055,navy,12-09,6
3056,navy,12-08,1
3057,navy,05-09,5
3058,navy,08-10,9
3059,navy,03-12,51
3060,navy,11-14,1066
3061,navy,01-15,406
3062,navy,03-11,30
3063,navy,11-11,66
3064,navy,11-10,16
3065,navy,11-13,251
3066,navy,11-12,181
3067,navy,10-09,7
3068,navy,10-08,4
3069,navy,03-13,109
3070,navy,02-09,2
3071,navy,05-10,16
3072,navy,05-11,177
3073,navy,05-12,78
3074,navy,05-13,153
3075,navy,05-14,387
3076,navy,07-10,8
3077,navy,02-15,45
3078,navy,04-13,156
3079,navy,12-14,936
3080,navy,06-09,4
3081,navy,12-10,16
3082,navy,12-11,46
3083,navy,12-12,140
3084,navy,12-13,249
3085,navy,09-09,6
3086,navy,01-13,101
3087,navy,01-09,2
3088,navy,06-11,20
3089,navy,06-10,8
3090,navy,06-13,162
3091,navy,06-12,45
3092,navy,01-11,11
3093,navy,06-14,384
3094,navy,04-09,19
3095,navy,07-09,2
3096,navy,08-09,1
3097,hero,09-13,3137
3098,hero,09-07,3
3099,hero,09-09,209
3100,hero,09-08,25
3101,hero,02-15,1136
3102,hero,02-14,4556
3103,hero,02-11,298
3104,hero,02-10,174
3105,hero,02-13,2222
3106,hero,02-12,773
3107,hero,05-07,3
3108,hero,05-09,98
3109,hero,05-08,7
3110,hero,04-13,2669
3111,hero,04-12,855
3112,hero,04-11,338
3113,hero,04-10,143
3114,hero,04-14,5113
3115,hero,09-14,8327
3116,hero,07-12,1311
3117,hero,09-10,170
3118,hero,09-11,565
3119,hero,09-12,1485
3120,hero,07-13,3304
3121,hero,08-11,425
3122,hero,08-10,161
3123,hero,11-14,15215
3124,hero,11-11,551
3125,hero,11-10,230
3126,hero,11-13,3346
3127,hero,11-12,1715
3128,hero,02-08,1
3129,hero,02-09,78
3130,hero,05-10,215
3131,hero,05-11,423
3132,hero,05-12,1178
3133,hero,05-13,3195
3134,hero,05-14,6235
3135,hero,07-08,8
3136,hero,04-08,3
3137,hero,04-09,176
3138,hero,04-07,4
3139,hero,06-11,425
3140,hero,06-10,154
3141,hero,06-13,3588
3142,hero,06-12,1084
3143,hero,06-14,7446
3144,hero,07-09,110
3145,hero,11-07,11
3146,hero,03-07,1
3147,hero,03-09,100
3148,hero,03-08,5
3149,hero,02-07,2
3150,hero,11-08,13
3151,hero,11-09,173
3152,hero,07-14,6950
3153,hero,08-14,7832
3154,hero,08-13,3229
3155,hero,08-12,1442
3156,hero,07-10,154
3157,hero,07-11,415
3158,hero,06-07,1
3159,hero,06-08,10
3160,hero,06-09,104
3161,hero,03-12,764
3162,hero,03-13,2231
3163,hero,03-10,157
3164,hero,03-11,346
3165,hero,10-07,6
3166,hero,10-09,192
3167,hero,10-08,35
3168,hero,08-08,4
3169,hero,08-09,124
3170,hero,08-07,2
3171,hero,01-09,29
3172,hero,01-08,2
3173,hero,10-12,1658
3174,hero,10-13,3506
3175,hero,10-10,216
3176,hero,10-11,549
3177,hero,10-14,10927
3178,hero,01-14,4448
3179,hero,01-15,8277
3180,hero,01-10,177
3181,hero,03-14,5300
3182,hero,01-12,678
3183,hero,01-13,1984
3184,hero,12-09,138
3185,hero,12-08,30
3186,hero,12-07,7
3187,hero,01-11,273
3188,hero,12-14,13225
3189,hero,12-10,200
3190,hero,12-11,571
3191,hero,12-12,1773
3192,hero,12-13,4137
3193,black_woman,10-12,438
3194,black_woman,10-13,1061
3195,black_woman,10-10,54
3196,black_woman,10-11,133
3197,black_woman,02-11,70
3198,black_woman,02-10,39
3199,black_woman,02-13,574
3200,black_woman,02-14,1375
3201,black_woman,03-09,7
3202,black_woman,05-09,15
3203,black_woman,11-09,13
3204,black_woman,09-13,875
3205,black_woman,07-14,2256
3206,black_woman,08-14,2633
3207,black_woman,07-12,339
3208,black_woman,07-13,1137
3209,black_woman,08-11,156
3210,black_woman,07-11,100
3211,black_woman,04-13,557
3212,black_woman,01-15,1483
3213,black_woman,04-11,93
3214,black_woman,04-10,54
3215,black_woman,01-10,19
3216,black_woman,10-14,2828
3217,black_woman,01-12,279
3218,black_woman,04-14,1489
3219,black_woman,09-14,3653
3220,black_woman,08-13,1105
3221,black_woman,02-12,344
3222,black_woman,09-10,33
3223,black_woman,09-11,152
3224,black_woman,09-12,356
3225,black_woman,08-12,415
3226,black_woman,03-12,251
3227,black_woman,12-09,21
3228,black_woman,12-08,3
3229,black_woman,07-10,35
3230,black_woman,10-08,2
3231,black_woman,06-09,16
3232,black_woman,11-13,1262
3233,black_woman,11-14,4220
3234,black_woman,03-10,27
3235,black_woman,03-11,78
3236,black_woman,11-11,185
3237,black_woman,11-10,82
3238,black_woman,03-14,1537
3239,black_woman,11-12,479
3240,black_woman,10-09,25
3241,black_woman,04-12,298
3242,black_woman,03-13,546
3243,black_woman,02-09,2
3244,black_woman,08-09,21
3245,black_woman,05-11,152
3246,black_woman,05-12,320
3247,black_woman,05-13,558
3248,black_woman,05-14,1554
3249,black_woman,11-08,4
3250,black_woman,08-10,38
3251,black_woman,02-15,104
3252,black_woman,04-09,10
3253,black_woman,12-14,5226
3254,black_woman,05-10,32
3255,black_woman,01-14,1290
3256,black_woman,12-10,57
3257,black_woman,12-11,138
3258,black_woman,12-12,433
3259,black_woman,12-13,1112
3260,black_woman,09-09,19
3261,black_woman,01-13,553
3262,black_woman,01-09,5
3263,black_woman,06-11,109
3264,black_woman,06-10,50
3265,black_woman,06-13,797
3266,black_woman,06-12,299
3267,black_woman,07-09,23
3268,black_woman,06-14,1718
3269,black_woman,01-11,63
3270,israeli,10-12,55
3271,israeli,02-14,141
3272,israeli,10-10,2
3273,israeli,10-11,27
3274,israeli,02-11,14
3275,israeli,02-10,2
3276,israeli,10-14,887
3277,israeli,10-13,82
3278,israeli,03-09,1
3279,israeli,02-13,64
3280,israeli,11-09,5
3281,israeli,07-13,101
3282,israeli,07-14,5986
3283,israeli,08-14,3056
3284,israeli,08-13,95
3285,israeli,08-12,28
3286,israeli,08-11,37
3287,israeli,08-10,6
3288,israeli,01-14,172
3289,israeli,01-15,447
3290,israeli,04-11,8
3291,israeli,04-10,3
3292,israeli,01-10,6
3293,israeli,03-14,177
3294,israeli,01-12,12
3295,israeli,04-14,162
3296,israeli,09-14,772
3297,israeli,07-12,71
3298,israeli,02-12,25
3299,israeli,09-10,2
3300,israeli,09-11,26
3301,israeli,09-12,83
3302,israeli,09-13,144
3303,israeli,12-09,4
3304,israeli,12-08,1
3305,israeli,07-10,4
3306,israeli,10-08,1
3307,israeli,06-09,7
3308,israeli,05-11,24
3309,israeli,03-12,35
3310,israeli,11-14,1482
3311,israeli,03-10,1
3312,israeli,03-11,22
3313,israeli,11-11,20
3314,israeli,11-10,11
3315,israeli,11-13,172
3316,israeli,11-12,523
3317,israeli,10-09,4
3318,israeli,04-12,20
3319,israeli,03-13,140
3320,israeli,02-09,3
3321,israeli,07-11,23
3322,israeli,08-09,11
3323,israeli,05-12,31
3324,israeli,05-13,86
3325,israeli,05-14,151
3326,israeli,11-08,3
3327,israeli,02-15,38
3328,israeli,04-13,82
3329,israeli,12-14,908
3330,israeli,05-10,6
3331,israeli,12-10,6
3332,israeli,12-11,26
3333,israeli,12-12,57
3334,israeli,12-13,128
3335,israeli,09-09,3
3336,israeli,01-13,57
3337,israeli,01-09,3
3338,israeli,06-11,23
3339,israeli,06-10,19
3340,israeli,06-13,55
3341,israeli,06-12,41
3342,israeli,07-09,5
3343,israeli,06-14,358
3344,israeli,05-09,3
3345,israeli,04-09,2
3346,israeli,01-11,7
3347,announcer,10-12,439
3348,announcer,02-15,166
3349,announcer,10-10,67
3350,announcer,10-11,185
3351,announcer,08-12,349
3352,announcer,02-10,30
3353,announcer,10-14,3127
3354,announcer,03-13,509
3355,announcer,03-09,4
3356,announcer,09-10,34
3357,announcer,02-13,538
3358,announcer,11-09,19
3359,announcer,08-08,2
3360,announcer,02-11,42
3361,announcer,07-14,1436
3362,announcer,08-14,1129
3363,announcer,08-13,465
3364,announcer,07-13,304
3365,announcer,07-10,28
3366,announcer,07-11,78
3367,announcer,01-14,1333
3368,announcer,01-15,1495
3369,announcer,04-11,76
3370,announcer,04-10,28
3371,announcer,01-10,36
3372,announcer,03-14,1051
3373,announcer,01-12,193
3374,announcer,04-14,1172
3375,announcer,09-14,1940
3376,announcer,07-12,314
3377,announcer,04-13,467
3378,announcer,02-12,152
3379,announcer,09-11,128
3380,announcer,09-12,362
3381,announcer,09-13,920
3382,announcer,05-08,1
3383,announcer,12-09,20
3384,announcer,12-08,1
3385,announcer,05-09,12
3386,announcer,03-08,1
3387,announcer,06-08,2
3388,announcer,06-09,15
3389,announcer,03-12,144
3390,announcer,11-14,2510
3391,announcer,03-10,17
3392,announcer,03-11,55
3393,announcer,11-11,135
3394,announcer,11-10,53
3395,announcer,11-13,967
3396,announcer,11-12,373
3397,announcer,10-09,23
3398,announcer,04-12,171
3399,announcer,08-11,51
3400,announcer,02-09,1
3401,announcer,08-09,7
3402,announcer,05-11,82
3403,announcer,05-12,196
3404,announcer,05-13,519
3405,announcer,05-14,1215
3406,announcer,08-10,22
3407,announcer,10-08,3
3408,announcer,01-11,36
3409,announcer,12-14,2172
3410,announcer,05-10,16
3411,announcer,10-13,1377
3412,announcer,12-10,35
3413,announcer,12-11,144
3414,announcer,12-12,338
3415,announcer,12-13,1161
3416,announcer,09-09,17
3417,announcer,01-13,511
3418,announcer,01-09,3
3419,announcer,06-11,74
3420,announcer,06-10,66
3421,announcer,06-13,634
3422,announcer,06-12,261
3423,announcer,06-14,2567
3424,announcer,04-09,5
3425,announcer,02-14,1434
3426,announcer,07-09,5
3427,zionist,10-12,27
3428,zionist,02-15,48
3429,zionist,10-10,3
3430,zionist,10-11,11
3431,zionist,08-12,38
3432,zionist,11-13,98
3433,zionist,10-14,907
3434,zionist,02-14,134
3435,zionist,03-09,1
3436,zionist,10-13,65
3437,zionist,02-10,1
3438,zionist,02-11,2
3439,zionist,07-14,2496
3440,zionist,08-14,2335
3441,zionist,08-13,87
3442,zionist,07-13,95
3443,zionist,08-11,7
3444,zionist,07-11,3
3445,zionist,04-13,64
3446,zionist,01-15,519
3447,zionist,04-11,4
3448,zionist,01-10,1
3449,zionist,02-13,34
3450,zionist,01-12,14
3451,zionist,04-14,172
3452,zionist,09-14,879
3453,zionist,07-12,20
3454,zionist,02-12,25
3455,zionist,09-11,16
3456,zionist,09-12,28
3457,zionist,09-13,51
3458,zionist,12-08,1
3459,zionist,06-09,3
3460,zionist,03-12,32
3461,zionist,11-14,1309
3462,zionist,03-10,3
3463,zionist,03-11,5
3464,zionist,11-11,12
3465,zionist,03-14,170
3466,zionist,11-12,209
3467,zionist,10-09,1
3468,zionist,04-12,13
3469,zionist,03-13,54
3470,zionist,08-09,3
3471,zionist,05-11,3
3472,zionist,05-12,10
3473,zionist,05-13,63
3474,zionist,05-14,158
3475,zionist,11-09,2
3476,zionist,01-11,3
3477,zionist,12-14,1213
3478,zionist,01-14,131
3479,zionist,12-10,3
3480,zionist,12-11,14
3481,zionist,12-12,42
3482,zionist,12-13,107
3483,zionist,09-09,1
3484,zionist,01-13,32
3485,zionist,01-09,1
3486,zionist,06-11,9
3487,zionist,06-10,6
3488,zionist,06-13,52
3489,zionist,06-12,17
3490,zionist,06-14,243
3491,zionist,07-09,1
3492,gentleman,10-12,927
3493,gentleman,10-13,1557
3494,gentleman,10-10,56
3495,gentleman,10-11,242
3496,gentleman,08-12,548
3497,gentleman,11-13,1541
3498,gentleman,02-13,1071
3499,gentleman,02-14,1833
3500,gentleman,03-09,27
3501,gentleman,05-09,25
3502,gentleman,11-09,34
3503,gentleman,09-08,2
3504,gentleman,08-07,1
3505,gentleman,02-10,42
3506,gentleman,02-11,114
3507,gentleman,07-14,2638
3508,gentleman,08-14,2992
3509,gentleman,08-13,1321
3510,gentleman,07-13,1291
3511,gentleman,07-10,58
3512,gentleman,07-11,163
3513,gentleman,01-14,2002
3514,gentleman,04-12,422
3515,gentleman,04-11,141
3516,gentleman,04-10,71
3517,gentleman,01-10,52
3518,gentleman,10-14,3940
3519,gentleman,01-12,347
3520,gentleman,04-14,2074
3521,gentleman,09-14,3456
3522,gentleman,07-12,545
3523,gentleman,11-14,4786
3524,gentleman,02-12,414
3525,gentleman,09-10,78
3526,gentleman,09-11,205
3527,gentleman,09-12,634
3528,gentleman,09-13,1462
3529,gentleman,08-09,38
3530,gentleman,12-08,3
3531,gentleman,08-11,213
3532,gentleman,10-08,6
3533,gentleman,12-09,43
3534,gentleman,08-10,46
3535,gentleman,12-07,1
3536,gentleman,03-12,387
3537,gentleman,03-13,960
3538,gentleman,03-10,48
3539,gentleman,03-11,149
3540,gentleman,11-11,247
3541,gentleman,11-10,60
3542,gentleman,03-14,2071
3543,gentleman,01-15,2699
3544,gentleman,10-09,34
3545,gentleman,05-08,2
3546,gentleman,02-08,2
3547,gentleman,02-09,10
3548,gentleman,05-10,50
3549,gentleman,05-11,139
3550,gentleman,05-12,473
3551,gentleman,05-13,1250
3552,gentleman,05-14,2469
3553,gentleman,11-08,1
3554,gentleman,04-08,3
3555,gentleman,02-15,312
3556,gentleman,11-12,819
3557,gentleman,04-13,1244
3558,gentleman,12-14,4361
3559,gentleman,08-08,2
3560,gentleman,06-09,31
3561,gentleman,12-10,94
3562,gentleman,12-11,255
3563,gentleman,12-12,816
3564,gentleman,12-13,1730
3565,gentleman,09-09,35
3566,gentleman,01-13,941
3567,gentleman,01-09,8
3568,gentleman,06-11,188
3569,gentleman,06-10,63
3570,gentleman,06-13,1230
3571,gentleman,06-12,477
3572,gentleman,07-09,28
3573,gentleman,06-14,2641
3574,gentleman,04-09,23
3575,gentleman,01-11,96
3576,islamist,10-12,51
3577,islamist,02-14,63
3578,islamist,10-10,2
3579,islamist,10-11,11
3580,islamist,02-11,11
3581,islamist,10-14,809
3582,islamist,03-13,31
3583,islamist,02-13,51
3584,islamist,11-09,1
3585,islamist,09-13,161
3586,islamist,06-09,1
3587,islamist,07-14,458
3588,islamist,08-14,844
3589,islamist,08-13,181
3590,islamist,07-13,245
3591,islamist,08-11,5
3592,islamist,07-11,12
3593,islamist,01-14,80
3594,islamist,01-15,719
3595,islamist,04-11,6
3596,islamist,04-10,2
3597,islamist,03-14,90
3598,islamist,01-12,9
3599,islamist,01-13,103
3600,islamist,09-14,978
3601,islamist,07-12,30
3602,islamist,04-13,182
3603,islamist,02-12,11
3604,islamist,09-11,5
3605,islamist,09-12,113
3606,islamist,08-12,24
3607,islamist,12-09,2
3608,islamist,07-10,1
3609,islamist,08-10,2
3610,islamist,03-12,8
3611,islamist,11-14,676
3612,islamist,03-11,10
3613,islamist,11-11,6
3614,islamist,11-10,2
3615,islamist,11-13,57
3616,islamist,11-12,70
3617,islamist,04-12,13
3618,islamist,02-09,1
3619,islamist,05-11,3
3620,islamist,05-12,15
3621,islamist,05-13,116
3622,islamist,05-14,260
3623,islamist,02-15,53
3624,islamist,01-11,9
3625,islamist,12-14,894
3626,islamist,10-13,75
3627,islamist,12-11,23
3628,islamist,12-12,55
3629,islamist,12-13,103
3630,islamist,04-14,135
3631,islamist,06-11,3
3632,islamist,06-10,2
3633,islamist,06-13,115
3634,islamist,06-12,19
3635,islamist,06-14,391
3636,islamist,04-09,1
3637,conservative,10-12,1360
3638,conservative,10-13,3184
3639,conservative,10-10,69
3640,conservative,10-11,275
3641,conservative,08-12,1096
3642,conservative,02-10,67
3643,conservative,02-13,1170
3644,conservative,03-13,1535
3645,conservative,03-09,30
3646,conservative,03-08,1
3647,conservative,05-09,43
3648,conservative,11-09,94
3649,conservative,09-08,6
3650,conservative,10-14,6311
3651,conservative,02-11,114
3652,conservative,07-14,4519
3653,conservative,08-14,4695
3654,conservative,08-13,1920
3655,conservative,07-13,1790
3656,conservative,08-11,251
3657,conservative,07-11,211
3658,conservative,01-14,3313
3659,conservative,01-15,2633
3660,conservative,04-11,192
3661,conservative,04-10,80
3662,conservative,01-10,79
3663,conservative,11-13,2216
3664,conservative,01-12,601
3665,conservative,04-14,3337
3666,conservative,09-14,4364
3667,conservative,07-12,609
3668,conservative,04-13,1346
3669,conservative,09-10,63
3670,conservative,09-11,249
3671,conservative,09-12,940
3672,conservative,09-13,2027
3673,conservative,08-09,84
3674,conservative,12-08,7
3675,conservative,07-10,61
3676,conservative,10-08,16
3677,conservative,12-09,37
3678,conservative,06-09,43
3679,conservative,03-12,711
3680,conservative,11-14,8486
3681,conservative,03-10,93
3682,conservative,03-11,135
3683,conservative,11-11,266
3684,conservative,11-10,94
3685,conservative,03-14,3138
3686,conservative,11-12,2055
3687,conservative,10-09,67
3688,conservative,04-12,517
3689,conservative,02-09,16
3690,conservative,05-10,65
3691,conservative,05-11,208
3692,conservative,05-12,488
3693,conservative,05-13,2131
3694,conservative,05-14,3191
3695,conservative,11-08,5
3696,conservative,08-10,77
3697,conservative,02-15,220
3698,conservative,01-11,133
3699,conservative,12-14,8537
3700,conservative,08-08,2
3701,conservative,12-10,67
3702,conservative,12-11,287
3703,conservative,12-12,1066
3704,conservative,12-13,2396
3705,conservative,09-09,87
3706,conservative,01-13,1535
3707,conservative,01-09,17
3708,conservative,02-12,652
3709,conservative,06-11,126
3710,conservative,06-10,48
3711,conservative,06-13,1957
3712,conservative,06-12,672
3713,conservative,06-14,4227
3714,conservative,04-09,51
3715,conservative,02-14,2701
3716,conservative,07-09,43
3717,reader,10-12,283
3718,reader,10-13,655
3719,reader,10-10,40
3720,reader,10-11,112
3721,reader,02-11,61
3722,reader,02-10,44
3723,reader,10-14,2144
3724,reader,02-14,896
3725,reader,03-09,28
3726,reader,09-10,38
3727,reader,05-09,24
3728,reader,11-09,16
3729,reader,09-08,5
3730,reader,09-13,585
3731,reader,10-07,1
3732,reader,07-14,1438
3733,reader,08-14,1518
3734,reader,08-13,545
3735,reader,07-13,652
3736,reader,08-11,104
3737,reader,08-10,47
3738,reader,01-14,827
3739,reader,01-15,1272
3740,reader,04-11,111
3741,reader,04-10,25
3742,reader,01-10,34
3743,reader,02-13,381
3744,reader,01-12,150
3745,reader,04-14,1107
3746,reader,09-14,1768
3747,reader,07-12,221
3748,reader,04-13,462
3749,reader,02-12,161
3750,reader,09-11,137
3751,reader,09-12,251
3752,reader,08-12,202
3753,reader,05-08,3
3754,reader,12-09,31
3755,reader,01-08,3
3756,reader,07-10,38
3757,reader,03-08,1
3758,reader,07-11,121
3759,reader,12-08,10
3760,reader,03-12,177
3761,reader,11-14,2123
3762,reader,03-10,25
3763,reader,03-11,75
3764,reader,11-11,138
3765,reader,11-10,46
3766,reader,11-13,677
3767,reader,04-12,165
3768,reader,10-09,24
3769,reader,10-08,6
3770,reader,03-13,515
3771,reader,02-09,32
3772,reader,05-10,27
3773,reader,05-11,82
3774,reader,05-12,218
3775,reader,05-13,429
3776,reader,05-14,1274
3777,reader,11-08,8
3778,reader,12-10,43
3779,reader,02-15,134
3780,reader,11-12,292
3781,reader,01-11,56
3782,reader,12-14,2128
3783,reader,08-08,4
3784,reader,06-09,31
3785,reader,03-14,1048
3786,reader,12-11,122
3787,reader,12-12,260
3788,reader,12-13,671
3789,reader,09-09,24
3790,reader,01-13,350
3791,reader,01-09,10
3792,reader,06-11,105
3793,reader,06-10,27
3794,reader,06-13,609
3795,reader,06-12,217
3796,reader,06-14,1270
3797,reader,04-09,26
3798,reader,07-09,49
3799,reader,08-09,36
3800,reader,07-08,3
3801,leader,10-12,3251
3802,leader,10-13,7063
3803,leader,10-10,217
3804,leader,10-11,877
3805,leader,08-12,2040
3806,leader,02-10,172
3807,leader,10-14,17733
3808,leader,02-14,6055
3809,leader,03-09,71
3810,leader,09-10,250
3811,leader,11-08,18
3812,leader,11-09,156
3813,leader,08-08,4
3814,leader,09-08,22
3815,leader,02-11,533
3816,leader,07-14,12048
3817,leader,08-14,16399
3818,leader,08-13,4593
3819,leader,07-13,4502
3820,leader,05-09,133
3821,leader,07-11,790
3822,leader,01-14,6011
3823,leader,01-15,11546
3824,leader,04-11,602
3825,leader,04-10,202
3826,leader,01-10,180
3827,leader,02-13,2989
3828,leader,01-12,1120
3829,leader,04-14,6933
3830,leader,09-14,16235
3831,leader,07-12,1623
3832,leader,04-13,3567
3833,leader,02-12,961
3834,leader,09-11,783
3835,leader,09-12,2677
3836,leader,09-13,5661
3837,leader,03-12,1341
3838,leader,05-08,2
3839,leader,12-09,132
3840,leader,12-08,9
3841,leader,08-11,857
3842,leader,10-08,30
