,0,1,2,3
174,teen,10-21-08,-0.6435,3
175,teen,08-28-09,-0.1853,9
176,teen,01-28-10,0.9765,3
177,teen,01-28-15,2.4775,187
178,teen,09-0-08,0.077,2
179,teen,09-0-09,3.0088,10
180,teen,06-14-14,-9.3843,620
181,teen,06-14-10,3.8179,19
182,teen,06-14-11,0.1382,37
183,teen,06-14-12,-2.8849,73
184,teen,06-14-13,-11.4669,194
185,teen,07-21-09,0.47,11
186,teen,07-21-08,0.0516,1
187,teen,07-7-14,-101.1652,779
188,teen,07-7-12,6.1769,84
189,teen,07-7-13,-69.3064,471
190,teen,07-7-10,-3.5218,13
191,teen,07-7-11,3.5853,36
192,teen,09-14-14,-4.2485,613
193,teen,09-14-11,-2.72,28
194,teen,09-14-10,4.0349,19
195,teen,09-14-13,7.7337,236
196,teen,09-14-12,-0.8355,94
197,teen,02-0-14,-17.9947,320
198,teen,06-21-08,-0.1027,1
199,teen,06-21-09,3.9554,12
200,teen,12-7-08,0.516,1
201,teen,08-14-12,11.0084,86
202,teen,08-14-13,-31.308,311
203,teen,08-14-10,1.3059,9
204,teen,08-14-11,-5.2173,30
205,teen,08-14-14,-422.6427,1712
206,teen,02-0-09,0.2267,3
207,teen,08-21-11,3.3675,33
208,teen,06-7-11,0.4273,31
209,teen,06-7-10,-0.937,10
210,teen,06-7-13,8.9861,218
211,teen,06-7-12,-0.6303,89
212,teen,06-7-14,0.0573,558
213,teen,09-7-10,-2.3111,14
214,teen,09-7-11,3.2565,30
215,teen,09-7-12,4.491,80
216,teen,09-7-13,-9.305,234
217,teen,09-7-14,-61.6267,787
218,teen,01-21-09,0.2795,3
219,teen,01-21-08,0.0,1
220,teen,11-0-09,0.4927,2
221,teen,11-0-08,0.886,3
222,teen,08-21-10,0.5991,10
223,teen,05-14-11,4.2969,18
224,teen,05-14-10,-1.101,12
225,teen,05-14-13,1.8065,172
226,teen,05-14-12,6.164,64
227,teen,05-14-14,3.8326,480
228,teen,02-28-12,0.9879,26
229,teen,02-28-13,2.7321,43
230,teen,02-28-10,-0.6666,5
231,teen,02-28-11,1.5289,7
232,teen,02-28-14,2.6698,47
233,teen,03-14-13,-24.5255,219
234,teen,03-14-12,-3.8739,79
235,teen,03-14-11,6.5539,30
236,teen,04-21-09,0.5549,7
237,teen,03-14-14,-7.0134,378
238,teen,12-21-09,4.2886,7
239,teen,12-21-08,1.9063,3
240,teen,02-14-09,-0.5423,2
241,teen,11-28-12,-1.0147,55
242,teen,11-28-13,-2.7661,96
243,teen,11-28-10,0.4841,7
244,teen,11-28-11,-2.0222,21
245,teen,11-28-14,-83.5918,541
246,teen,10-14-13,1.1814,251
247,teen,10-14-12,-10.591,130
248,teen,10-14-11,4.4472,57
249,teen,10-14-10,-1.941,25
250,teen,10-14-14,2.8632,780
251,teen,10-28-08,0.0,1
252,teen,11-14-09,-0.9843,21
253,teen,11-14-08,0.0,1
254,teen,05-28-08,0.0,1
255,teen,05-28-09,0.887,7
256,teen,03-7-12,5.4099,54
257,teen,03-7-13,-19.0787,164
258,teen,03-7-10,3.0289,9
259,teen,03-7-11,1.9986,24
260,teen,03-7-14,1.6901,399
261,teen,08-7-08,0.7579,1
262,teen,08-7-09,-1.7134,15
263,teen,02-21-12,-2.6867,45
264,teen,04-28-09,0.7096,1
265,teen,01-28-13,-2.9492,90
266,teen,10-7-13,-6.4254,216
267,teen,08-21-13,-164.5107,530
268,teen,08-21-12,2.6763,95
269,teen,08-21-14,-123.321,1023
270,teen,10-7-14,-72.3866,1002
271,teen,01-28-14,-4.6664,272
272,teen,08-0-14,-25.7459,574
273,teen,08-0-10,-0.8389,7
274,teen,08-0-11,3.2066,37
275,teen,08-0-12,4.4603,86
276,teen,08-0-13,-5.8297,192
277,teen,03-21-14,-10.9685,476
278,teen,03-21-10,2.0175,12
279,teen,03-21-11,0.3989,24
280,teen,03-21-12,-3.5334,140
281,teen,03-21-13,-10.4152,160
282,teen,12-28-13,-0.8164,168
283,teen,12-28-12,-1.8911,65
284,teen,12-28-11,-1.2938,23
285,teen,12-28-10,3.3457,13
286,teen,12-28-14,-23.0518,499
287,teen,02-21-14,-6.769,391
288,teen,02-21-13,-9.5511,143
289,teen,07-14-09,-0.1155,14
290,teen,02-21-11,2.3734,31
291,teen,02-21-10,2.2867,12
292,teen,07-28-11,3.5584,15
293,teen,07-28-10,-1.2606,11
294,teen,07-28-13,0.561,183
295,teen,07-28-12,3.5909,45
