,0,1,2,
80,4,0.185135854909,christian,Religion
81,4,0.160795381534,pastor,Religion
82,4,0.0630522635441,leader,Religion
83,4,0.0395933597222,preacher,Religion
84,4,0.0314665199739,sinner,Religion
85,4,0.0297190855765,believer,Religion
86,4,0.0206008592758,servant,Religion
87,4,0.0184336135849,disciple,Religion
88,4,0.0166894117036,son,Religion
89,4,0.0159332565178,minister,Religion
90,4,0.0149813140542,neighbor,Religion
91,4,0.0131068880916,baptist,Religion
92,4,0.0120615489542,youth,Religion
93,4,0.0113984747519,missionary,Religion
94,4,0.00891477271869,creator,Religion
95,4,0.00862427979642,enemy,Religion
96,4,0.00857880033774,saint,Religion
97,4,0.00814479064733,shepherd,Religion
98,4,0.00798951031705,slave,Religion
99,4,0.00782819451144,angel,Religion
100,5,0.0886231575774,angel,
101,5,0.0602284333625,momma,
102,5,0.055801765666,lover,
103,5,0.042127649224,gf,
104,5,0.0360591015948,stranger,
105,5,0.0325898670808,mexican,
106,5,0.0302664539265,partner,
107,5,0.029590565491,daddy,
108,5,0.0256842393278,sweetheart,
109,5,0.0186268972206,girlfriend,
110,5,0.0151438467696,dancer,
111,5,0.014857451368,model,
112,5,0.0147562954381,cutie,
113,5,0.0138703678203,uncle,
114,5,0.0123038946222,neighbor,
115,5,0.0118560670874,cousin,
116,5,0.0101979669147,mama,
117,5,0.0100895712479,sissy,
118,5,0.008880223347,hottie,
119,5,0.00846483149407,sista,
120,6,0.209865484042,writer,Occupation
121,6,0.0975582235834,actor,Occupation
122,6,0.0701736321937,editor,Occupation
123,6,0.0481162841739,author,Occupation
124,6,0.0420649007337,reader,Occupation
125,6,0.0301138322997,poet,Occupation
126,6,0.0271877167281,journalist,Occupation
127,6,0.0268081482738,librarian,Occupation
128,6,0.0247795490714,blogger,Occupation
129,6,0.0194043717459,actres,Occupation
130,6,0.0154868986162,hero,Occupation
131,6,0.0126175394386,director,Occupation
132,6,0.0107183994977,designer,Occupation
133,6,0.00994547993431,photographer,Occupation
134,6,0.00992547308874,female,Occupation
135,6,0.00989268448727,villain,Occupation
136,6,0.00768107539291,artist,Occupation
137,6,0.00766627523599,fellow,Occupation
138,6,0.00761817817821,teen,Occupation
139,6,0.00755730690993,adult,Occupation
140,7,0.655427005068,nigga,
141,7,0.0604878267882,hoe,
142,7,0.0229565072102,female,
143,7,0.0122562223857,rapper,
144,7,0.0108392998816,mf,
145,7,0.0075733132518,momma,
146,7,0.00740872516424,thug,
147,7,0.00720950021176,cousin,
148,7,0.00593867817364,girlfriend,
149,7,0.00367409032237,daddy,
150,7,0.00324036890089,white_girl,
151,7,0.00302473804239,uncle,
152,7,0.00300749512669,thot,
153,7,0.00295153879516,hater,
154,7,0.00294253575141,grandma,
155,7,0.00294046741236,chick,
156,7,0.00287379299669,mama,
157,7,0.0027710166769,pussy,
158,7,0.00245599604343,clown,
159,7,0.00239459144891,mexican,
160,8,0.0525391320136,female,Sexuality/Gamergate
161,8,0.0496324221625,feminist,Sexuality/Gamergate
162,8,0.0471139405883,victim,Sexuality/Gamergate
163,8,0.0367704633756,male,Sexuality/Gamergate
164,8,0.0339445052611,gamer,Sexuality/Gamergate
165,8,0.0337885653167,gay,Sexuality/Gamergate
166,8,0.0230659219784,lesbian,Sexuality/Gamergate
167,8,0.0227040563051,racist,Sexuality/Gamergate
168,8,0.0219303886075,adult,Sexuality/Gamergate
169,8,0.0208601142946,rapist,Sexuality/Gamergate
170,8,0.0187748106227,asshole,Sexuality/Gamergate
171,8,0.0149268492088,partner,Sexuality/Gamergate
172,8,0.0133927049825,minority,Sexuality/Gamergate
173,8,0.0114363650206,misogynist,Sexuality/Gamergate
174,8,0.00993730952206,survivor,Sexuality/Gamergate
175,8,0.00955189088546,atheist,Sexuality/Gamergate
176,8,0.00944530396476,hero,Sexuality/Gamergate
177,8,0.00927997652803,individual,Sexuality/Gamergate
178,8,0.008859091847,teen,Sexuality/Gamergate
179,8,0.00755252198391,critic,Sexuality/Gamergate
180,9,0.0741228457367,driver,
181,9,0.0568486578553,manager,
182,9,0.0542426976331,customer,
183,9,0.0306858015104,nurse,
184,9,0.0255137179291,doctor,
185,9,0.016745524659,passenger,
186,9,0.0141278468123,partner,
187,9,0.0128979838662,client,
188,9,0.0119357132423,cyclist,
189,9,0.0114709604329,patient,
190,9,0.0104003872727,chap,
191,9,0.0101669090556,worker,
192,9,0.0100188174908,colleague,
193,9,0.00875873687631,owner,
194,9,0.00869404904737,user,
195,9,0.00819432205309,adult,
196,9,0.00767339151127,employee,
197,9,0.00742493767258,pedestrian,
198,9,0.00693062485064,neighbour,
199,9,0.00677805978132,councillor,
